,photo,Taxa,day,Dry,Green,Panicle,Stalk,Yellow,trt,zoom_num,pot_pixel_count,square,rDry,rGreen,rPanicle,rStalk,rYellow
637,7-8-19_Makenzie_78-472-TX430-N5_2019-07-13_22-44-49.860_492600.npy,78-472-TX430-N5,07-13,259,3509,73,27,10,N5,2,107,4.07134334876408,1054.4779273299,14286.3438108132,297.208064459778,109.92627041663,40.7134334876408
638,7-8-19_Makenzie_78-472-TX430-N5_2019-07-14_20-02-56.793_540100.npy,78-472-TX430-N5,07-14,197,4082,91,20,3,N5,2,107,4.07134334876408,802.054639706525,16619.223549655,370.492244737532,81.4268669752817,12.2140300462923
639,7-8-19_Makenzie_78-472-TX430-N5_2019-07-15_20-08-47.956_587600.npy,78-472-TX430-N5,07-15,193,4708,146,16,0,N5,2,107,4.07134334876408,785.769266311468,19167.8844859813,594.416128919556,65.1414935802253,0
640,7-8-19_Makenzie_78-472-TX430-N5_2019-07-16_16-06-36.500_607200.npy,78-472-TX430-N5,07-16,139,5532,27,26,5,N5,2,107,4.07134334876408,565.916725478208,22522.6714053629,109.92627041663,105.854927067866,20.3567167438204
641,7-8-19_Makenzie_78-472-TX430-N5_2019-07-18_14-09-29.134_736100.npy,78-472-TX430-N5,07-18,303,3073,97,84,14,N5,3,72,8.99166859567901,2724.47558449074,27631.3975945216,872.191853780864,755.300162037037,125.883360339506
642,7-8-19_Makenzie_78-472-TX430-N5_2019-07-20_13-42-15.406_849400.npy,78-472-TX430-N5,07-20,385,3328,67,38,21,N5,3,72,8.99166859567901,3461.79240933642,29924.2730864198,602.441795910494,341.683406635803,188.825040509259
643,7-8-19_Makenzie_78-472-TX430-N5_2019-07-22_14-09-03.264_967400.npy,78-472-TX430-N5,07-22,99,4360,91,122,16,N5,3,72,8.99166859567901,890.175190972222,39203.6750771605,818.24184220679,1096.98356867284,143.866697530864
644,7-8-19_Makenzie_78-472-TX430-N5_2019-07-24_13-57-28.404_1087900.npy,78-472-TX430-N5,07-24,239,5223,93,143,56,N5,3,72,8.99166859567901,2149.00879436728,46963.4850752315,836.225179398148,1285.8086091821,503.533441358025
645,7-8-19_Makenzie_78-472-TX430-N5_2019-07-26_14-15-47.567_1189200.npy,78-472-TX430-N5,07-26,113,3883,138,317,65,N5,4,52,17.2384652366864,1947.94657174556,66936.9605140533,2378.90820266272,5464.59348002959,1120.50024038462
646,7-8-19_Makenzie_78-472-TX430-N5_2019-07-28_13-47-16.825_1302500.npy,78-472-TX430-N5,07-28,40,3187,49,50,72,N5,4,52,17.2384652366864,689.538609467456,54938.9887093195,844.684796597633,861.92326183432,1241.16949704142
647,7-8-19_Makenzie_78-472-TX430-N5_2019-07-30_20-27-44.112_1422400.npy,78-472-TX430-N5,07-30,104,5039,207,326,84,N5,4,52,17.2384652366864,1792.80038461538,86864.6263276627,3568.36230399408,5619.73966715976,1448.03107988166
648,7-8-19_Makenzie_78-472-TX430-N5_2019-08-01_14-16-09.080_1530800.npy,78-472-TX430-N5,08-01,133,5586,154,401,137,N5,4,52,17.2384652366864,2292.71587647929,96294.0668121302,2654.7236464497,6912.62455991124,2361.66973742604
