,photo,Taxa,day,Dry,Green,Panicle,Stalk,Yellow,trt,zoom_num,pot_pixel_count,square,rDry,rGreen,rPanicle,rStalk,rYellow
222,7-8-19_Makenzie_78-462-TX430-N3_2019-07-13_22-23-45.923_491600.npy,78-462-TX430-N3,07-13,4,5118,408,40,23,N3,2,107,4.07134334876408,16.2853733950563,20837.1352589746,1661.10808629575,162.853733950563,93.6408970215739
223,7-8-19_Makenzie_78-462-TX430-N3_2019-07-14_19-41-51.680_539100.npy,78-462-TX430-N3,07-14,4,5846,519,32,7,N3,2,107,4.07134334876408,16.2853733950563,23801.0732168748,2113.02719800856,130.282987160451,28.4994034413486
224,7-8-19_Makenzie_78-462-TX430-N3_2019-07-15_19-47-44.630_586600.npy,78-462-TX430-N3,07-15,1,6268,541,25,2,N3,2,107,4.07134334876408,4.07134334876408,25519.1801100533,2202.59675168137,101.783583719102,8.14268669752817
225,7-8-19_Makenzie_78-462-TX430-N3_2019-07-16_15-45-28.237_606200.npy,78-462-TX430-N3,07-16,2,6932,276,152,2,N3,2,107,4.07134334876408,8.14268669752817,28222.5520936326,1123.69076425889,618.844189012141,8.14268669752817
226,7-8-19_Makenzie_78-462-TX430-N3_2019-07-18_13-48-24.295_735100.npy,78-462-TX430-N3,07-18,130,3662,235,236,33,N3,3,72,8.99166859567901,1168.91691743827,32927.4903973766,2113.04211998457,2122.03378858025,296.725063657407
227,7-8-19_Makenzie_78-462-TX430-N3_2019-07-20_13-21-16.790_848400.npy,78-462-TX430-N3,07-20,162,4472,281,266,35,N3,3,72,8.99166859567901,1456.6503125,40210.7419598766,2526.6588753858,2391.78384645062,314.708400848765
228,7-8-19_Makenzie_78-462-TX430-N3_2019-07-22_13-47-57.990_966400.npy,78-462-TX430-N3,07-22,47,4887,371,355,30,N3,3,72,8.99166859567901,422.608423996914,43942.2844270834,3335.90904899691,3192.04235146605,269.75005787037
229,7-8-19_Makenzie_78-462-TX430-N3_2019-07-24_13-35-30.682_1086900.npy,78-462-TX430-N3,07-24,181,5742,298,429,44,N3,3,72,8.99166859567901,1627.4920158179,51630.1610763889,2679.51724151235,3857.4258275463,395.633418209877
230,7-8-19_Makenzie_78-462-TX430-N3_2019-07-26_13-54-04.454_1188200.npy,78-462-TX430-N3,07-26,74,3057,124,247,68,N3,4,52,17.2384652366864,1275.64642751479,52697.9882285503,2137.56968934911,4257.90091346154,1172.21563609467
231,7-8-19_Makenzie_78-462-TX430-N3_2019-07-28_13-26-00.363_1301500.npy,78-462-TX430-N3,07-28,31,3442,203,220,83,N3,4,52,17.2384652366864,534.392422337278,59334.7973446746,3499.40844304734,3792.46235207101,1430.79261464497
232,7-8-19_Makenzie_78-462-TX430-N3_2019-07-30_20-06-12.119_1421400.npy,78-462-TX430-N3,07-30,88,3620,240,267,148,N3,4,52,17.2384652366864,1516.9849408284,62403.2441568047,4137.23165680473,4602.67021819527,2551.29285502959
233,7-8-19_Makenzie_78-462-TX430-N3_2019-08-01_13-54-28.127_1529800.npy,78-462-TX430-N3,08-01,132,3923,174,303,160,N3,4,52,17.2384652366864,2275.4774112426,67626.4991235207,2999.49295118343,5223.25496671598,2758.15443786982
234,7-8-19_Makenzie_78-462-TX430-N3_2019-08-03_13-54-59.428_1648500.npy,78-462-TX430-N3,08-03,146,4080,142,338,213,N3,4,52,17.2384652366864,2516.81592455621,70332.9381656805,2447.86206360947,5826.60125,3671.7930954142
