,photo,Taxa,day,Dry,Green,Panicle,Stalk,Yellow,trt,zoom_num,pot_pixel_count,square,rDry,rGreen,rPanicle,rStalk,rYellow
390,7-8-19_Makenzie_78-466-TX430-N4_2019-07-13_22-32-11.274_492000.npy,78-466-TX430-N4,07-13,193,2600,282,81,9,N4,2,107,4.07134334876408,785.769266311468,10585.4927067866,1148.11882435147,329.778811249891,36.6420901388768
391,7-8-19_Makenzie_78-466-TX430-N4_2019-07-14_19-50-18.066_539500.npy,78-466-TX430-N4,07-14,254,2831,360,5,9,N4,2,107,4.07134334876408,1034.12121058608,11525.9730203511,1465.68360555507,20.3567167438204,36.6420901388768
392,7-8-19_Makenzie_78-466-TX430-N4_2019-07-15_19-56-10.005_587000.npy,78-466-TX430-N4,07-15,279,3552,392,15,9,N4,2,107,4.07134334876408,1135.90479430518,14461.41157481,1595.96659271552,61.0701502314613,36.6420901388768
393,7-8-19_Makenzie_78-466-TX430-N4_2019-07-16_15-53-55.328_606600.npy,78-466-TX430-N4,07-16,338,4221,113,151,3,N4,2,107,4.07134334876408,1376.11405188226,17185.1402751332,460.061798410342,614.772845663377,12.2140300462923
394,7-8-19_Makenzie_78-466-TX430-N4_2019-07-18_13-56-50.269_735500.npy,78-466-TX430-N4,07-18,245,2628,227,264,19,N4,3,72,8.99166859567901,2202.95880594136,23630.1050694445,2041.10877121914,2373.80050925926,170.841703317901
395,7-8-19_Makenzie_78-466-TX430-N4_2019-07-20_13-29-39.156_848800.npy,78-466-TX430-N4,07-20,307,3276,217,291,22,N4,3,72,8.99166859567901,2760.44225887346,29456.7063194445,1951.19208526235,2616.57556134259,197.816709104938
396,7-8-19_Makenzie_78-466-TX430-N4_2019-07-22_13-56-23.756_966800.npy,78-466-TX430-N4,07-22,190,4377,334,352,24,N4,3,72,8.99166859567901,1708.41703317901,39356.533443287,3003.21731095679,3165.06734567901,215.800046296296
397,7-8-19_Makenzie_78-466-TX430-N4_2019-07-24_13-52-49.008_1087300.npy,78-466-TX430-N4,07-24,318,4839,279,452,37,N4,3,72,8.99166859567901,2859.35061342593,43510.6843344908,2508.67553819444,4064.23420524691,332.691738040124
398,7-8-19_Makenzie_78-466-TX430-N4_2019-07-26_14-02-42.679_1188600.npy,78-466-TX430-N4,07-26,117,2428,84,78,25,N4,4,52,17.2384652366864,2016.90043269231,41854.9935946746,1448.03107988166,1344.60028846154,430.96163091716
399,7-8-19_Makenzie_78-466-TX430-N4_2019-07-28_13-34-24.522_1301900.npy,78-466-TX430-N4,07-28,115,3281,195,279,45,N4,4,52,17.2384652366864,1982.42350221894,56559.4044415681,3361.50072115385,4809.5318010355,775.730935650888
400,7-8-19_Makenzie_78-466-TX430-N4_2019-07-30_20-14-49.000_1421800.npy,78-466-TX430-N4,07-30,77,3023,139,73,85,N4,4,52,17.2384652366864,1327.36182322485,52111.880410503,2396.14666789941,1258.40796227811,1465.26954511834
401,7-8-19_Makenzie_78-466-TX430-N4_2019-08-01_14-03-05.678_1530200.npy,78-466-TX430-N4,08-01,93,3119,123,118,115,N4,4,52,17.2384652366864,1603.17726701183,53766.7730732249,2120.33122411243,2034.13889792899,1982.42350221894
402,7-8-19_Makenzie_78-466-TX430-N4_2019-08-03_14-03-36.505_1648900.npy,78-466-TX430-N4,08-03,115,2923,85,119,309,N4,4,52,17.2384652366864,1982.42350221894,50388.0338868343,1465.26954511834,2051.37736316568,5326.6857581361
403,7-8-19_Makenzie_78-466-TX430-N4_2019-08-05_14-24-37.905_1767600.npy,78-466-TX430-N4,08-05,457,3031,138,173,327,N4,4,52,17.2384652366864,7877.97861316568,52249.7881323965,2378.90820266272,2982.25448594675,5636.97813239645
404,7-8-19_Makenzie_78-466-TX430-N4_2019-08-07_14-39-30.017_1880500.npy,78-466-TX430-N4,08-07,878,3146,128,211,253,N4,4,52,17.2384652366864,15135.3724778107,54232.2116346154,2206.52355029586,3637.31616494083,4361.33170488166
405,7-8-19_Makenzie_78-466-TX430-N4_2019-08-09_15-07-06.171_1999200.npy,78-466-TX430-N4,08-09,961,3204,122,205,178,N4,5,51,17.9211111111111,17222.1877777778,57419.24,2186.37555555556,3673.82777777778,3189.95777777778
